TLL02_bin_12_filtered_results_setID_2_seq	ISOSDB1
TLL02_bin_22_filtered_results_setID_2_seq	ISOSDB2
TLL02_bin_22_filtered_results_setID_3_seq	ISOSDB3
TLL02_bin_22_filtered_results_setID_9_seq	ISOSDB4
TLL03_bin_110_filtered_results_setID_5_seq	ISOSDB5
TLL03_bin_11_filtered_results_setID_1_seq	ISOSDB6
TLL03_bin_123_filtered_results_setID_5_seq	ISOSDB7
TLL03_bin_123_filtered_results_setID_5_seq_2	ISOSDB8
TLL03_bin_124_filtered_results_setID_1_seq	ISOSDB9
TLL03_bin_14_filtered_results_setID_4_seq	ISOSDB10
TLL03_bin_39_filtered_results_setID_1_seq	ISOSDB11
TLL03_bin_39_filtered_results_setID_2_seq	ISOSDB12
TLL03_bin_51_filtered_results_setID_1_seq	ISOSDB13
TLL03_bin_55_filtered_results_setID_4_seq	ISOSDB14
TLL03_bin_57_filtered_results_setID_4_seq_2	ISOSDB15
TLL03_bin_64_filtered_results_setID_1_seq	ISOSDB16
TLL03_bin_77_filtered_results_setID_1_seq	ISOSDB17
TLL03_bin_89_filtered_results_setID_5_seq	ISOSDB18
TLL03_bin_91_filtered_results_setID_2_seq	ISOSDB19
TLL04_bin_25_filtered_results_setID_1_seq	ISOSDB20
TLL04_bin_3_filtered_results_setID_5_seq	ISOSDB21
TLL04_bin_5_filtered_results_setID_1_seq	ISOSDB22
TLL04_bin_5_filtered_results_setID_1_seq_2	ISOSDB23
TLL04_bin_62_filtered_results_setID_1_seq	ISOSDB24
TLL04_bin_87_filtered_results_setID_2_seq	ISOSDB25
TLL05_bin_101_filtered_results_setID_2_seq_3	ISOSDB26
TLL05_bin_10_filtered_results_setID_8_seq	ISOSDB27
TLL05_bin_119_filtered_results_setID_1_seq	ISOSDB28
TLL05_bin_127_filtered_results_setID_1_seq	ISOSDB29
TLL05_bin_165_filtered_results_setID_2_seq	ISOSDB30
TLL05_bin_1_filtered_results_setID_1_seq	ISOSDB31
